Geo_NAME,Geo_QName,Geo_FIPS,Geo_SUMLEV,Geo_GEOCOMP,Geo_STATE,Geo_COUNTY,Geo_COUNTYSC,Geo_COUSUB,Geo_TRACT,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_006,SE_T02A_001,SE_T02A_002,SE_T02A_003,SE_T003_001,SE_T003_002,SE_T003_003,SE_T008_001,SE_T008_002,SE_T008_003,SE_T008_004,SE_T008_005,SE_T008_006,SE_T008_007,SE_T008_008,SE_T008_009,SE_T008_010,SE_T008_011,SE_T008_012,SE_T008_013,SE_T044_001,SE_T044_002,SE_T044_003,SE_T054_001,SE_T054_002,SE_T054_003,SE_T054_004,SE_T054_005,SE_T054_006,SE_T054_007,SE_T054_008,SE_T055_001,SE_T055_002,SE_T055_003,SE_T055_004,SE_T055_005,SE_T055_006,SE_T055_007,SE_T055_008,SE_T055_009,SE_T055_010,SE_T055_011,SE_T055_012,SE_T055_013,SE_T055_014,SE_T055_015,SE_T055_016,SE_T055_017,SE_T058_001,SE_T058_002,SE_T058_003,SE_T058_004,SE_T058_005,SE_T058_006,SE_T058_007,SE_T058_008,SE_T058_009,SE_T063_001,SE_T063_002,SE_T063_003,SE_T063_004,SE_T063_005,SE_T063_006,SE_T063_007,SE_T063_008,SE_T063_009,SE_T063_010,SE_T063_011,SE_T063_012,SE_T063_013,SE_T063_014,SE_T063_015,SE_T063_016,SE_T063_017,SE_T063_018,SE_T068_001,SE_T069_001,SE_T069_002,SE_T069_003,SE_T070_001,SE_T070_002,SE_T070_003,SE_T071_001,SE_T071_002,SE_T071_003,SE_T071_004
"Census Tract 405","Census Tract 405, Alexander County, North Carolina","37003040500","140","00","37","003","16",,"040500",6982,6982,162.7311,42.9051377844222,43.4417,42.90514,0.5365677,6982,3450,3532,6982,495,532,476,304,549,830,1048,1033,805,563,254,93,38,37.4,38.5,6982,6087,343,15,61,2,341,133,6982,6415,5895,334,13,61,2,7,103,567,192,9,2,0,0,334,30,2682,1939,1408,531,164,367,743,636,107,6982,6982,6109,1939,1408,2104,217,60,69,112,200,873,636,107,130,0,0,0,2997,2682,1979,703,2997,2682,315,315,79,57,179
"Census Tract 9202","Census Tract 9202, Anson County, North Carolina","37007920200","140","00","37","007","16",,"920200",1738,1738,25.49343,68.1744378738434,68.66161,68.17444,0.4871721,1738,843,895,1738,98,125,98,65,143,175,212,285,265,151,83,38,42.8,42.4,43.2,1738,977,676,10,43,0,23,9,1738,1702,974,667,10,43,0,1,7,36,3,9,0,0,0,22,2,695,473,315,158,42,116,222,193,29,1738,1738,1473,473,315,494,71,30,14,38,38,265,193,29,43,0,0,0,844,695,531,164,844,695,149,149,52,48,49
"Census Tract 9203","Census Tract 9203, Anson County, North Carolina","37007920300","140","00","37","007","16",,"920300",8178,8178,66.72507,122.562631178214,122.6171,122.5626,0.05441917,8178,5101,3077,8178,356,403,400,248,765,1506,1428,1274,872,592,254,80,37.9,36.8,40.5,8178,5013,2767,74,109,4,135,76,8178,7777,4753,2754,73,108,4,16,69,401,260,13,1,1,0,119,7,2370,1677,1213,464,138,326,693,606,87,8178,5988,5188,1677,1213,1698,210,69,48,125,148,800,606,87,107,2190,2190,0,2747,2370,1749,621,2747,2370,377,377,100,95,182
"Census Tract 9204","Census Tract 9204, Anson County, North Carolina","37007920400","140","00","37","007","16",,"920400",3032,3032,73.90743,41.0242920044417,41.05201,41.02429,0.02771673,3032,1373,1659,3032,227,223,227,132,288,344,368,411,371,240,148,53,37.8,34.6,40,3032,791,2159,14,9,0,37,22,3032,2978,781,2152,14,9,0,1,21,54,10,7,0,0,0,36,1,1178,816,348,468,90,378,362,320,42,3032,3032,2622,816,348,982,199,56,39,105,77,410,320,42,48,0,0,0,1407,1178,682,496,1407,1178,229,229,67,45,117
"Census Tract 9205","Census Tract 9205, Anson County, North Carolina","37007920500","140","00","37","007","16",,"920500",6138,6138,173.2681,35.4248622001337,35.55691,35.42486,0.1320466,6138,2867,3271,6138,384,369,353,277,506,700,727,814,826,555,387,240,42.1,38.8,44,6138,2803,3086,13,99,0,39,98,6138,6057,2784,3068,13,98,0,6,88,81,19,18,0,1,0,33,10,2473,1538,901,637,146,491,935,844,91,6138,5844,4790,1538,901,1688,224,80,68,150,141,1054,844,91,119,294,250,44,2867,2473,1491,982,2867,2473,394,394,126,117,151
"Census Tract 9206","Census Tract 9206, Anson County, North Carolina","37007920600","140","00","37","007","16",,"920600",4451,4451,27.3668,162.642322667132,163.2487,162.6423,0.6063731,4451,2155,2296,4451,302,284,320,257,394,445,612,668,608,323,173,65,38.9,38.5,39.3,4451,1584,2640,27,19,0,111,70,4451,4247,1525,2636,16,14,0,3,53,204,59,4,11,5,0,108,17,1676,1177,714,463,120,343,499,442,57,4451,4451,3881,1177,714,1399,241,69,41,115,125,570,442,57,71,0,0,0,2035,1676,1235,441,2035,1676,359,359,78,116,165
"Census Tract 405","Census Tract 405, Cabarrus County, North Carolina","37025040500","140","00","37","025","18",,"040500",11911,11911,611.3278,19.4838200022548,19.52624,19.48382,0.04242221,11911,5866,6045,11911,970,1008,943,560,943,1971,1933,1530,1069,606,299,79,32.9,32.2,33.5,11911,8994,1554,68,74,0,897,324,11911,10104,8271,1525,35,74,0,20,179,1807,723,29,33,0,0,877,145,4200,3239,2486,753,221,532,961,772,189,11911,11911,10707,3239,2486,3973,195,123,116,252,323,1204,772,189,243,0,0,0,4513,4200,3425,775,4513,4200,313,313,92,132,89
"Census Tract 406","Census Tract 406, Cabarrus County, North Carolina","37025040600","140","00","37","025","18",,"040600",6110,6110,151.2114,40.4069949358839,40.4541,40.40699,0.04710447,6110,3047,3063,6110,349,372,407,288,462,610,903,937,844,555,309,74,41.4,41,41.7,6110,5574,259,23,52,0,115,87,6110,5896,5490,258,18,49,0,4,77,214,84,1,5,3,0,111,10,2332,1796,1496,300,113,187,536,459,77,6110,6110,5478,1796,1496,1701,156,32,58,111,128,632,459,77,96,0,0,0,2533,2332,1948,384,2533,2332,201,201,40,52,109
"Census Tract 407.01","Census Tract 407.01, Cabarrus County, North Carolina","37025040701","140","00","37","025","18",,"040701",1654,1654,1387.696,1.19190359183131,1.364734,1.191904,0.1728301,1654,806,848,1654,108,108,94,59,153,222,215,227,202,131,85,50,38.9,37.4,40.1,1654,1307,204,7,10,0,94,32,1654,1526,1281,202,6,10,0,0,27,128,26,2,1,0,0,94,5,695,443,315,128,36,92,252,219,33,1654,1654,1357,443,315,455,40,5,12,30,57,297,219,33,45,0,0,0,790,695,440,255,790,695,95,95,42,26,27
"Census Tract 407.02","Census Tract 407.02, Cabarrus County, North Carolina","37025040702","140","00","37","025","18",,"040702",6495,6495,1979.397,3.28130207553085,3.505584,3.281302,0.2242821,6495,3116,3379,6495,505,483,479,300,494,1030,968,857,638,421,247,73,34.6,33,36.2,6495,3610,2161,18,89,0,432,185,6495,5738,3372,2131,8,89,0,9,129,757,238,30,10,0,0,423,56,2389,1714,1190,524,133,391,675,540,135,6495,6482,5643,1714,1190,2059,200,83,69,141,187,839,540,135,164,13,0,13,2641,2389,1780,609,2641,2389,252,252,98,77,77
