Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_003,SE_T056_001,SE_T056_002,SE_T056_003,SE_T056_004,SE_T056_005,SE_T056_006,SE_T056_007,SE_T056_008,SE_T056_009,SE_T056_010,SE_T056_011,SE_T056_012,SE_T056_013,SE_T056_014,SE_T056_015,SE_T056_016,SE_T056_017,SE_T057_001,SE_T058_001,SE_T058_002,SE_T058_003,SE_T058_004,SE_T058_005,SE_T058_006,SE_T058_007,SE_T058_008,SE_T058_009,SE_T058_010,SE_T059_001,SE_T061_001,SE_T062_001,SE_T063_001,SE_T064_001,SE_T065_001,SE_T065_002,SE_T065_003,SE_T065_004,SE_T065_005,SE_T065_006,SE_T065_007,SE_T066_001,SE_T066_002,SE_T066_003,SE_T066_004,SE_T066_005,SE_T066_006,SE_T066_007,SE_T066_008,SE_T066_009,SE_T066_010,SE_T066_011,SE_T066_012,SE_T066_013,SE_T066_014,SE_T066_015,SE_T066_016,SE_T066_017,SE_T066_018,SE_T067_001,SE_T067_002,SE_T067_003,SE_T074_001,SE_T074_002,SE_T074_003,SE_T075_001,SE_T075_002,SE_T075_003,SE_T076_001,SE_T076_002,SE_T076_003,SE_T077_001,SE_T077_002,SE_T077_003,SE_T078_001,SE_T078_002,SE_T078_003,SE_T079_001,SE_T079_002,SE_T079_003,SE_T080_001,SE_T080_002,SE_T080_003,SE_T081_001,SE_T081_002,SE_T081_003,SE_T082_001,SE_T082_002,SE_T082_003,SE_T083_001,SE_T084_001,SE_T085_001,SE_T086_001,SE_T087_001,SE_T088_001,SE_T089_001,SE_T090_001,SE_T091_001,SE_T092_001
"37007920300","14000US37007920300","Census Tract 9203, Anson County, North Carolina","Census Tract 9203, Anson County, North Carolina","nc","140","00","ACSSF","0010628",,,,,"37","007",,,,"920300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8076,8076,65.89284,122.562631178214,2309,257,168,106,180,176,180,157,172,104,125,238,221,107,13,19,86,37486,37486,44281,13155,,19375,,,,,44314,57825.9419662191,46549,73483.7314396385,20216,23364.7368421053,19790,19486,30625,11786,20337,30865,10989,24302,12031,27159,21694,34531,64500,23287,14861,24931,26750,65966,,26140,6705,27969,20132,31696,75208,37486,43654,25049,2309,1654,655,2309,1541,768,2309,294,2015,2309,438,1871,2309,854,1455,2309,101,2208,2309,7,2302,2309,339,1970,2309,419,1890,18108,27094,5364,3846,9999,,2357,2483,4164,27117
"37025040500","14000US37025040500","Census Tract 405, Cabarrus County, North Carolina","Census Tract 405, Cabarrus County, North Carolina","nc","140","00","ACSSF","0010771",,,,,"37","025",,,,"040500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11012,11012,565.1869,19.4838200022548,3934,140,282,50,294,218,172,275,115,259,381,495,699,259,160,64,71,53946,53946,54545,48616,,,,52900,,50000,56744,61519.013726487,62114,70018.9667374381,28804,37266.8772563177,28125,32621,41232,17542,22633,34792,11363,32735,12286,23760,36533,40574,46283,37790,18750,29269,41766,45643,92760,27374,7119,17340,32221,33229,45362,53946,57015,39107,3934,3487,447,3934,3439,495,3934,369,3565,3934,634,3300,3934,797,3137,3934,27,3907,3934,44,3890,3934,581,3353,3934,420,3514,22199,24234,17365,15230,,,10071,7997,9707,26374
"37025040600","14000US37025040600","Census Tract 406, Cabarrus County, North Carolina","Census Tract 406, Cabarrus County, North Carolina","nc","140","00","ACSSF","0010772",,,,,"37","025",,,,"040600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6129,6129,151.6817,40.4069949358839,2306,74,135,128,160,120,178,112,155,63,137,238,402,224,87,46,47,53611,53611,48125,57300,,,,,,,48125,63594.9696444059,66625,73160.5477855478,30330,33453.8983050847,26905,36119,46696,20697,20677,38653,12156,35369,25917,35204,31484,42669,57200,40166,33224,36285,45550,50068,83224,31048,5000,31844,25656,39583,55650,53611,57438,40799,2306,1818,488,2306,1700,606,2306,365,1941,2306,433,1873,2306,778,1528,2306,66,2240,2306,5,2301,2306,538,1768,2306,252,2054,24059,24092,23173,,,,,,,24092
"37025040701","14000US37025040701","Census Tract 407.01, Cabarrus County, North Carolina","Census Tract 407.01, Cabarrus County, North Carolina","nc","140","00","ACSSF","0010773",,,,,"37","025",,,,"040701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1930,1930,1619.258,1.19190359183131,812,143,66,23,39,81,21,85,32,11,64,99,38,29,18,0,63,37426,37426,35551,55900,,,,,43393,28125,35551,88119.3349753695,44531,55758.2692307692,16167,145335.95890411,21332,21750,44442,12639,21127,42306,14764,39583,40625,38906,37000,18929,,44018,2499,43969,100391,,,26250,40948,18558,33988,14583,,37426,43810,27100,812,622,190,812,573,239,812,203,609,812,106,706,812,237,575,812,0,812,812,0,812,812,180,632,812,133,679,37874,39977,34570,,,,,2717,18614,39977
"37025040702","14000US37025040702","Census Tract 407.02, Cabarrus County, North Carolina","Census Tract 407.02, Cabarrus County, North Carolina","nc","140","00","ACSSF","0010774",,,,,"37","025",,,,"040702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6301,6301,1920.274,3.28130207553085,2404,172,106,99,147,137,71,100,89,207,399,320,370,131,17,0,39,51370,51370,55038,46875,,,,53135,,46620,55775,56331.7387687188,55825,58082.5425790754,47130,52242.8947368421,26375,34167,40078,16146,22055,31634,14776,31394,25255,25435,31912,33359,48897,35837,25811,34571,40524,36013,40074,25877,18917,18895,24028,31859,51250,51370,55113,25417,2404,2063,341,2404,1992,412,2404,207,2197,2404,348,2056,2404,636,1768,2404,50,2354,2404,39,2365,2404,366,2038,2404,224,2180,21677,21403,21961,,,6991,33056,,12592,23940
"37025040703","14000US37025040703","Census Tract 407.03, Cabarrus County, North Carolina","Census Tract 407.03, Cabarrus County, North Carolina","nc","140","00","ACSSF","0010775",,,,,"37","025",,,,"040703",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3177,3177,1898.821,1.67314365935286,1216,201,58,170,194,27,74,63,166,86,76,9,92,0,0,0,0,24668,24668,34659,22834,,,,34207,,34327,36833,30908.3059210526,30132,31869.6428571429,19421,26513.7295081967,17635,27961,38750,17341,14128,24932,8974,24565,13092,17917,32532,43155,,33425,18795,24141,33880,43068,,23067,5924,4759,23518,43185,,24668,38606,23150,1216,819,397,1216,806,410,1216,40,1176,1216,167,1049,1216,464,752,1216,34,1182,1216,21,1195,1216,230,986,1216,144,1072,12728,20043,8507,,,,12269,7819,14746,20115
"37025040800","14000US37025040800","Census Tract 408, Cabarrus County, North Carolina","Census Tract 408, Cabarrus County, North Carolina","nc","140","00","ACSSF","0010776",,,,,"37","025",,,,"040800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3677,3677,2485.396,1.47944237579479,1489,117,66,125,63,167,128,142,101,53,104,199,87,35,28,0,74,37855,37855,39146,30850,,,,,,65089,37866,69884.8220282069,41250,81649.4866529774,28417,46102.5242718447,21185,23723,30888,16652,19712,28892,9903,28468,20952,26615,28384,44205,50114,30633,20119,31761,23472,48958,38889,27013,23125,21441,29833,36042,,37855,44389,30213,1489,1180,309,1489,1144,345,1489,147,1342,1489,255,1234,1489,506,983,1489,88,1401,1489,35,1454,1489,231,1258,1489,168,1321,28395,31719,16687,,,,,,8865,35399
"37025040900","14000US37025040900","Census Tract 409, Cabarrus County, North Carolina","Census Tract 409, Cabarrus County, North Carolina","nc","140","00","ACSSF","0010777",,,,,"37","025",,,,"040900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850,1850,1569.515,1.17870777779665,888,26,43,42,83,19,49,29,60,51,54,199,146,27,14,0,46,57857,57857,60517,45476,,,,,,61250,56141,62819.8198198198,62485,71989.0173410405,31875,49635.7723577236,28381,42593,48995,19656,24470,29961,14815,37093,26458,23173,33618,54773,47740,48533,,32321,50953,56000,46750,29531,14583,12333,28672,47500,48173,57857,65455,34211,888,756,132,888,715,173,888,112,776,888,164,724,888,225,663,888,40,848,888,33,855,888,173,715,888,98,790,29883,30949,33271,,,,3221,7032,17427,32791
"37025041000","14000US37025041000","Census Tract 410, Cabarrus County, North Carolina","Census Tract 410, Cabarrus County, North Carolina","nc","140","00","ACSSF","0010778",,,,,"37","025",,,,"041000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5996,5996,1832.224,3.27252520088896,2444,422,358,181,265,107,239,26,78,59,207,136,242,105,19,0,0,24926,24926,27079,17011,,,,,,34340,26073,36304.8690671031,30503,42675.9870550162,14604,21985.6507230256,15206,20110,32174,10317,13090,26977,8707,23935,20379,22957,25268,34018,20556,25845,11809,23879,33250,50052,,22750,40221,22539,22422,25417,,24926,34123,17644,2444,1696,748,2444,1609,835,2444,280,2164,2444,345,2099,2444,872,1572,2444,136,2308,2444,96,2348,2444,497,1947,2444,378,2066,15097,15691,13700,,,,8385,14998,7163,17051
"37025041100","14000US37025041100","Census Tract 411, Cabarrus County, North Carolina","Census Tract 411, Cabarrus County, North Carolina","nc","140","00","ACSSF","0010779",,,,,"37","025",,,,"041100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6412,6412,1657.912,3.86751405798019,2467,116,115,76,269,129,197,115,82,175,186,382,459,102,20,25,19,49127,49127,49246,30625,,,,64153,,34952,49828,54128.4556141062,53021,58434.3768115942,30833,39703.9083557951,23511,31269,49216,17964,20986,34348,12205,33401,19176,22307,40806,35441,42353,41585,18722,33149,51932,48875,75703,23880,,20588,34219,19255,40074,49127,57123,32634,2467,1919,548,2467,1892,575,2467,130,2337,2467,457,2010,2467,681,1786,2467,27,2440,2467,17,2450,2467,493,1974,2467,498,1969,21050,22675,15735,,,,23369,3873,8793,23705
