Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_003,SE_T056_001,SE_T056_002,SE_T056_003,SE_T056_004,SE_T056_005,SE_T056_006,SE_T056_007,SE_T056_008,SE_T056_009,SE_T056_010,SE_T056_011,SE_T056_012,SE_T056_013,SE_T056_014,SE_T056_015,SE_T056_016,SE_T056_017,SE_T057_001,SE_T058_001,SE_T058_002,SE_T058_003,SE_T058_004,SE_T058_005,SE_T058_006,SE_T058_007,SE_T058_008,SE_T058_009,SE_T058_010,SE_T059_001,SE_T061_001,SE_T062_001,SE_T063_001,SE_T064_001,SE_T065_001,SE_T065_002,SE_T065_003,SE_T065_004,SE_T065_005,SE_T065_006,SE_T065_007,SE_T066_001,SE_T066_002,SE_T066_003,SE_T066_004,SE_T066_005,SE_T066_006,SE_T066_007,SE_T066_008,SE_T066_009,SE_T066_010,SE_T066_011,SE_T066_012,SE_T066_013,SE_T066_014,SE_T066_015,SE_T066_016,SE_T066_017,SE_T066_018,SE_T067_001,SE_T067_002,SE_T067_003,SE_T074_001,SE_T074_002,SE_T074_003,SE_T075_001,SE_T075_002,SE_T075_003,SE_T076_001,SE_T076_002,SE_T076_003,SE_T077_001,SE_T077_002,SE_T077_003,SE_T078_001,SE_T078_002,SE_T078_003,SE_T079_001,SE_T079_002,SE_T079_003,SE_T080_001,SE_T080_002,SE_T080_003,SE_T081_001,SE_T081_002,SE_T081_003,SE_T082_001,SE_T082_002,SE_T082_003,SE_T083_001,SE_T084_001,SE_T085_001,SE_T086_001,SE_T087_001,SE_T088_001,SE_T089_001,SE_T090_001,SE_T091_001,SE_T092_001
"04015940400","14000US04015940400","Census Tract 9404, Mohave County, Arizona","Census Tract 9404, Mohave County, Arizona","az","140","00","ACSSF","0004600",,,,,"04","015",,,,"940400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,622,622,0.9123202,681.77815804552,158,20,15,15,16,0,12,0,23,0,17,14,16,10,0,0,0,42609,42609,,,34792,,,,,,,42510.1265822785,28750,39786.231884058,33500,38575,18098,21607,33068,8214,16447,25855,6750,23182,14318,22500,25735,,,23125,2499,19306,25156,,,23250,14886,25625,26250,,,42609,44531,22857,158,138,20,158,134,24,158,18,140,158,4,154,158,36,122,158,13,145,158,7,151,158,18,140,158,28,130,12153,50123,,11332,,,,264,13089,
"04015940501","14000US04015940501","Census Tract 9405.01, Mohave County, Arizona","Census Tract 9405.01, Mohave County, Arizona","az","140","00","ACSSF","0004601",,,,,"04","015",,,,"940501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3452,3452,126.3254,27.3262547934585,1283,101,50,30,70,130,138,139,108,38,142,68,107,159,0,1,2,39175,39175,40188,,26172,,,25417,28750,33667,40313,48935.3858144973,42283,53610.6741573034,30945,35142.2391857506,23744,27369,32500,17316,17321,35855,11181,24961,14167,24167,24605,42794,44167,26234,13148,26151,30841,35000,17000,22975,23646,18550,21250,42941,49318,39175,43015,35436,1283,873,410,1283,842,441,1283,72,1211,1283,249,1034,1283,591,692,1283,25,1258,1283,46,1237,1283,273,1010,1283,285,998,18736,19060,,17040,63532,,10470,7527,14300,19717
"04015950100","14000US04015950100","Census Tract 9501, Mohave County, Arizona","Census Tract 9501, Mohave County, Arizona","az","140","00","ACSSF","0004602",,,,,"04","015",,,,"950100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8386,8386,1.657294,5060.05539485125,1766,232,120,85,97,139,135,163,89,116,148,200,124,32,47,26,13,37206,37206,37601,,26250,108583,,,,37667,37467,45435.6738391846,40865,47424.672489083,20795,34520.4081632653,18602,24030,31624,16028,15026,25625,10196,25676,21984,29400,23580,35804,30125,31235,26188,37500,25667,35000,45000,20147,16801,16563,22016,48083,28333,37206,37171,37216,1766,1327,439,1766,1260,506,1766,163,1603,1766,129,1637,1766,474,1292,1766,58,1708,1766,11,1755,1766,297,1469,1766,290,1476,10080,9890,,8515,38721,,9249,,10539,9813
"04015950401","14000US04015950401","Census Tract 9504.01, Mohave County, Arizona","Census Tract 9504.01, Mohave County, Arizona","az","140","00","ACSSF","0004603",,,,,"04","015",,,,"950401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1655,1655,7.024943,235.589094621288,749,60,54,24,148,50,61,17,102,26,16,128,63,0,0,0,0,31578,31578,32480,,,,,,9291,24616,40625,39251.6688918558,41998,48079.2899408284,23243,20757.0247933884,20690,25175,29934,23305,11205,26211,9259,26897,,22328,26543,63324,,29309,,25775,,63324,,25352,,,26113,,,31578,32049,,749,269,480,749,269,480,749,0,749,749,249,500,749,495,254,749,27,722,749,23,726,749,358,391,749,219,530,17349,17769,,2367,,,,18669,12239,20376
"04015950402","14000US04015950402","Census Tract 9504.02, Mohave County, Arizona","Census Tract 9504.02, Mohave County, Arizona","az","140","00","ACSSF","0004604",,,,,"04","015",,,,"950402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4024,4024,2.159939,1863.01591513165,1739,240,134,118,158,19,90,163,85,68,115,174,75,172,14,29,85,38738,38738,39171,90667,48333,,,,12802,,39171,57632.6049453709,48942,71715.9252669039,18192,30242.9268292683,20632,22467,46164,17868,14337,33514,9981,24646,9821,20648,24618,38500,42457,35000,30625,28008,38663,23958,41940,21544,9583,9716,22593,,80577,38738,42539,8750,1739,979,760,1739,912,827,1739,117,1622,1739,503,1236,1739,938,801,1739,81,1658,1739,8,1731,1739,725,1014,1739,241,1498,25586,26263,26970,16404,,,,13484,,26263
"04015950500","14000US04015950500","Census Tract 9505, Mohave County, Arizona","Census Tract 9505, Mohave County, Arizona","az","140","00","ACSSF","0004605",,,,,"04","015",,,,"950500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1134,1134,2.34109,484.38967902554,614,85,111,38,31,56,52,31,37,27,12,53,46,20,0,0,15,27442,27442,30938,,,,,,50000,,31523,39663.5179153094,58229,53997.2549019608,15691,29482.4512534819,17040,22262,26125,21190,14294,45368,12853,16573,4000,24519,19609,7031,,11364,,9952,19766,,,23077,12717,33971,17436,15543,,27442,31328,15054,614,332,282,614,284,330,614,104,510,614,181,433,614,420,194,614,31,583,614,0,614,614,259,355,614,74,540,22934,24283,,,,,,,,24418
"04015950600","14000US04015950600","Census Tract 9506, Mohave County, Arizona","Census Tract 9506, Mohave County, Arizona","az","140","00","ACSSF","0004606",,,,,"04","015",,,,"950600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9484,9484,49.70614,190.801365875054,3913,265,411,374,256,329,354,263,270,248,363,353,194,146,87,0,0,34311,34311,33873,,36708,,,72059,31667,64479,33027,40751.8016866854,41159,45775.3753753754,18034,26534.5876701361,19433,23945,39705,17228,17736,27820,12795,23998,17511,23081,34519,22898,40250,30018,18031,30089,40104,,,20783,16500,21086,27134,2499,41125,34311,36158,22181,3913,2538,1375,3913,2415,1498,3913,367,3546,3913,633,3280,3913,2118,1795,3913,272,3641,3913,131,3782,3913,989,2924,3913,727,3186,17355,17766,,12127,,6248,23796,11213,16820,18065
"04015950703","14000US04015950703","Census Tract 9507.03, Mohave County, Arizona","Census Tract 9507.03, Mohave County, Arizona","az","140","00","ACSSF","0004607",,,,,"04","015",,,,"950703",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4761,4761,4392.888,1.08379729944695,1843,221,211,162,142,84,164,248,197,56,139,140,38,41,0,0,0,33406,33406,33837,,,,,62670,33646,16434,37008,33751.0037981552,37571,38862.1428571429,20175,25099.1701244813,15583,16708,29282,11828,13614,26214,8302,20771,12083,16176,23331,,11953,22039,8269,20170,23795,,,17471,16429,15956,22861,,,33406,35576,20150,1843,1285,558,1843,1255,588,1843,120,1723,1843,82,1761,1843,844,999,1843,159,1684,1843,81,1762,1843,355,1488,1843,290,1553,13910,13899,,,,,20084,9315,13103,14083
"04015950704","14000US04015950704","Census Tract 9507.04, Mohave County, Arizona","Census Tract 9507.04, Mohave County, Arizona","az","140","00","ACSSF","0004608",,,,,"04","015",,,,"950704",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6226,6226,51.75679,120.293388231915,2574,178,252,147,135,264,189,134,185,90,185,109,338,208,39,101,20,39545,39545,39280,,,,,51188,,24926,39659,53698.174048174,43417,56667.9332181923,30625,47388.8888888889,22226,26461,46063,18634,16864,26950,12523,27083,16875,24886,27225,37076,27102,29587,25962,21912,48021,60132,27045,25559,16000,25326,25682,35863,45057,39545,44500,21222,2574,1795,779,2574,1625,949,2574,375,2199,2574,607,1967,2574,1172,1402,2574,136,2438,2574,80,2494,2574,717,1857,2574,409,2165,22434,23585,,,,,7017,1418,14397,23926
"04015950705","14000US04015950705","Census Tract 9507.05, Mohave County, Arizona","Census Tract 9507.05, Mohave County, Arizona","az","140","00","ACSSF","0004609",,,,,"04","015",,,,"950705",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4236,4236,1282.416,3.30314155895703,1690,225,188,84,102,159,164,118,58,147,157,119,55,65,0,20,29,33663,33663,34494,57938,,,,29643,17817,33095,34318,41713.9053254438,36649,50436.768558952,12334,21088.0733944954,16325,19135,33341,11213,15205,23989,10862,22892,14922,24375,24344,43958,47857,31135,17778,30110,47466,44479,,20267,12202,21563,20750,41979,46923,33663,37153,21207,1690,1152,538,1690,1128,562,1690,178,1512,1690,195,1495,1690,636,1054,1690,210,1480,1690,98,1592,1690,278,1412,1690,227,1463,17109,17133,30835,20066,,,27928,9061,9112,19457
