Geo_NAME,Geo_QName,Geo_FIPS,Geo_SUMLEV,Geo_GEOCOMP,Geo_STATE,Geo_COUNTY,Geo_COUNTYSC,Geo_COUSUB,Geo_TRACT,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_006,SE_T02A_001,SE_T02A_002,SE_T02A_003,SE_T003_001,SE_T003_002,SE_T003_003,SE_T008_001,SE_T008_002,SE_T008_003,SE_T008_004,SE_T008_005,SE_T008_006,SE_T008_007,SE_T008_008,SE_T008_009,SE_T008_010,SE_T008_011,SE_T008_012,SE_T008_013,SE_T044_001,SE_T044_002,SE_T044_003,SE_T054_001,SE_T054_002,SE_T054_003,SE_T054_004,SE_T054_005,SE_T054_006,SE_T054_007,SE_T054_008,SE_T055_001,SE_T055_002,SE_T055_003,SE_T055_004,SE_T055_005,SE_T055_006,SE_T055_007,SE_T055_008,SE_T055_009,SE_T055_010,SE_T055_011,SE_T055_012,SE_T055_013,SE_T055_014,SE_T055_015,SE_T055_016,SE_T055_017,SE_T058_001,SE_T058_002,SE_T058_003,SE_T058_004,SE_T058_005,SE_T058_006,SE_T058_007,SE_T058_008,SE_T058_009,SE_T063_001,SE_T063_002,SE_T063_003,SE_T063_004,SE_T063_005,SE_T063_006,SE_T063_007,SE_T063_008,SE_T063_009,SE_T063_010,SE_T063_011,SE_T063_012,SE_T063_013,SE_T063_014,SE_T063_015,SE_T063_016,SE_T063_017,SE_T063_018,SE_T068_001,SE_T069_001,SE_T069_002,SE_T069_003,SE_T070_001,SE_T070_002,SE_T070_003,SE_T071_001,SE_T071_002,SE_T071_003,SE_T071_004
"Census Tract 9701","Census Tract 9701, Columbia County, Wisconsin","55021970100","140","00","55","021","17",,"970100",4153,4153,29.18427,142.302682483471,143.2971,142.3027,0.9944451,4153,2116,2037,4153,312,351,345,185,300,471,475,660,507,288,193,66,37.7,37.2,38.3,4153,4022,17,6,13,0,63,32,4153,3995,3941,16,6,13,0,2,17,158,81,1,0,0,0,61,15,1524,1135,940,195,69,126,389,329,60,4153,4153,3690,1135,940,1426,56,7,24,25,77,463,329,60,74,0,0,0,1657,1524,1271,253,1657,1524,133,133,32,58,43
"Census Tract 9702","Census Tract 9702, Columbia County, Wisconsin","55021970200","140","00","55","021","17",,"970200",5868,5868,81.0565,72.3939415935518,75.00928,72.39394,2.615342,5868,2932,2936,5868,400,340,434,243,370,645,780,915,786,467,328,160,41.3,40.2,43.1,5868,5732,13,13,34,7,30,39,5868,5768,5672,13,11,34,7,0,31,100,60,0,2,0,0,30,8,2316,1592,1297,295,106,189,724,588,136,5868,5742,4862,1592,1297,1648,86,24,19,54,142,880,588,136,156,126,122,4,2600,2316,1820,496,2600,2316,284,284,47,200,37
"Census Tract 9704","Census Tract 9704, Columbia County, Wisconsin","55021970400","140","00","55","021","17",,"970400",6557,6557,496.3343,13.2108550309886,14.83753,13.21086,1.626679,6557,3612,2945,6557,397,385,368,212,540,1071,951,948,677,394,388,226,38.1,36.4,41.2,6557,5859,449,70,44,4,50,81,6557,6304,5687,441,60,44,0,0,72,253,172,8,10,0,4,50,9,2569,1442,1046,396,116,280,1127,958,169,6557,5660,4326,1442,1046,1521,65,24,21,38,169,1334,958,169,207,897,897,0,3010,2569,1360,1209,3010,2569,441,441,195,196,50
"Census Tract 9705","Census Tract 9705, Columbia County, Wisconsin","55021970500","140","00","55","021","17",,"970500",4316,4316,765.9464,5.63485931208948,5.705992,5.634859,0.07113315,4316,2220,2096,4316,275,298,294,182,379,677,638,644,467,209,188,65,35.8,35.3,36.6,4316,4065,70,27,36,0,28,90,4316,4139,3938,65,22,36,0,0,78,177,127,5,5,0,0,28,12,1707,1059,723,336,114,222,648,502,146,4316,4086,3250,1059,723,1167,54,37,20,49,141,836,502,146,188,230,211,19,1835,1707,1098,609,1835,1707,128,128,43,37,48
"Census Tract 9706","Census Tract 9706, Columbia County, Wisconsin","55021970600","140","00","55","021","17",,"970600",4632,4632,44.60643,103.841518956845,111.7411,103.8415,7.899596,4632,2369,2263,4632,167,269,281,193,204,370,647,797,825,540,263,76,47.8,47.4,48.3,4632,4530,13,17,19,2,23,28,4632,4574,4495,13,16,19,2,3,26,58,35,0,1,0,0,20,2,1927,1424,1257,167,78,89,503,394,109,4632,4615,3975,1424,1257,1114,42,16,24,37,61,640,394,109,137,17,7,10,2289,1927,1730,197,2289,1927,362,362,11,314,37
"Census Tract 9707","Census Tract 9707, Columbia County, Wisconsin","55021970700","140","00","55","021","17",,"970700",4206,4206,104.3007,40.3257127060048,43.49235,40.32571,3.16664,4206,2115,2091,4206,252,258,297,170,260,452,614,757,592,362,138,54,41.9,41.2,42.6,4206,4098,26,25,11,1,3,42,4206,4163,4062,26,24,11,1,0,39,43,36,0,1,0,0,3,3,1767,1173,942,231,81,150,594,492,102,4206,4200,3481,1173,942,1146,61,17,23,30,89,719,492,102,125,6,0,6,2096,1767,1372,395,2096,1767,329,329,42,243,44
"Census Tract 9708","Census Tract 9708, Columbia County, Wisconsin","55021970800","140","00","55","021","17",,"970800",5605,5605,118.0917,47.4631079371796,49.58931,47.46311,2.126199,5605,2766,2839,5605,309,378,457,258,341,536,755,1003,737,437,265,129,42.6,41.9,43.4,5605,5427,16,23,39,5,48,47,5605,5508,5391,15,17,39,5,1,40,97,36,1,6,0,0,47,7,2202,1546,1281,265,90,175,656,544,112,5605,5539,4756,1546,1281,1659,59,25,18,57,111,783,544,112,127,66,66,0,2692,2202,1693,509,2692,2202,490,490,27,437,26
"Census Tract 9709","Census Tract 9709, Columbia County, Wisconsin","55021970900","140","00","55","021","17",,"970900",4695,4695,93.73272,50.0892328458665,55.47279,50.08923,5.383555,4695,2401,2294,4695,279,318,324,189,259,544,673,761,715,417,172,44,41.6,41.8,41.5,4695,4579,21,13,22,6,16,38,4695,4637,4538,20,13,22,5,2,37,58,41,1,0,0,1,14,1,1842,1405,1223,182,74,108,437,318,119,4695,4695,4107,1405,1223,1292,35,15,19,34,84,588,318,119,151,0,0,0,2247,1842,1629,213,2247,1842,405,405,9,359,37
"Census Tract 9710","Census Tract 9710, Columbia County, Wisconsin","55021971000","140","00","55","021","17",,"971000",3971,3971,36.90991,107.586289975089,109.8478,107.5863,2.261467,3971,2035,1936,3971,210,231,250,168,245,423,534,760,598,302,182,68,43.8,43.4,44.1,3971,3893,6,22,5,1,20,24,3971,3911,3863,4,15,4,1,2,22,60,30,2,7,1,0,18,2,1627,1161,962,199,85,114,466,359,107,3971,3971,3378,1161,962,1047,43,27,26,29,83,593,359,107,127,0,0,0,1730,1627,1351,276,1730,1627,103,103,16,48,39
"Census Tract 9711","Census Tract 9711, Columbia County, Wisconsin","55021971100","140","00","55","021","17",,"971100",3622,3622,38.96386,92.9579349402391,93.74367,92.95793,0.7857307,3622,1805,1817,3622,263,258,272,197,281,396,535,581,420,250,131,38,38.5,38.4,38.6,3622,3493,18,2,25,0,30,54,3622,3535,3445,18,2,24,0,3,43,87,48,0,0,1,0,27,11,1334,1010,827,183,80,103,324,243,81,3622,3562,3146,1010,827,1121,32,24,24,30,78,416,243,81,92,60,0,60,1441,1334,1018,316,1441,1334,107,107,19,67,21
