Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_003,SE_T056_001,SE_T056_002,SE_T056_003,SE_T056_004,SE_T056_005,SE_T056_006,SE_T056_007,SE_T056_008,SE_T056_009,SE_T056_010,SE_T056_011,SE_T056_012,SE_T056_013,SE_T056_014,SE_T056_015,SE_T056_016,SE_T056_017,SE_T057_001,SE_T058_001,SE_T058_002,SE_T058_003,SE_T058_004,SE_T058_005,SE_T058_006,SE_T058_007,SE_T058_008,SE_T058_009,SE_T058_010,SE_T059_001,SE_T061_001,SE_T062_001,SE_T063_001,SE_T064_001,SE_T065_001,SE_T065_002,SE_T065_003,SE_T065_004,SE_T065_005,SE_T065_006,SE_T065_007,SE_T066_001,SE_T066_002,SE_T066_003,SE_T066_004,SE_T066_005,SE_T066_006,SE_T066_007,SE_T066_008,SE_T066_009,SE_T066_010,SE_T066_011,SE_T066_012,SE_T066_013,SE_T066_014,SE_T066_015,SE_T066_016,SE_T066_017,SE_T066_018,SE_T067_001,SE_T067_002,SE_T067_003,SE_T074_001,SE_T074_002,SE_T074_003,SE_T075_001,SE_T075_002,SE_T075_003,SE_T076_001,SE_T076_002,SE_T076_003,SE_T077_001,SE_T077_002,SE_T077_003,SE_T078_001,SE_T078_002,SE_T078_003,SE_T079_001,SE_T079_002,SE_T079_003,SE_T080_001,SE_T080_002,SE_T080_003,SE_T081_001,SE_T081_002,SE_T081_003,SE_T082_001,SE_T082_002,SE_T082_003,SE_T083_001,SE_T084_001,SE_T085_001,SE_T086_001,SE_T087_001,SE_T088_001,SE_T089_001,SE_T090_001,SE_T091_001,SE_T092_001
"17177000100","14000US17177000100","Census Tract 1, Stephenson County, Illinois","Census Tract 1, Stephenson County, Illinois","il","140","00","ACSSF","0018190",,,,,"17","177",,,,"000100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4361,4361,45.22057,96.4384082088411,1695,89,67,97,73,90,116,75,110,61,176,283,245,97,82,34,0,52768,52768,52679,,,,,,,35938,53393,58486.6076696165,63453,66027.3725490196,32778,34485.9523809524,25534,34495,48731,21202,17029,35750,12712,33620,11625,26549,33854,46750,56089,41444,7250,32610,47614,54875,56591,25599,14063,20833,20029,34625,55813,52768,61250,30652,1695,1311,384,1695,1242,453,1695,278,1417,1695,534,1161,1695,561,1134,1695,31,1664,1695,21,1674,1695,305,1390,1695,277,1418,23139,23149,,,,,,,8356,23424
"17201004100","14000US17201004100","Census Tract 41, Winnebago County, Illinois","Census Tract 41, Winnebago County, Illinois","il","140","00","ACSSF","0018543",,,,,"17","201",,,,"004100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5206,5206,51.77354,100.553299860849,2002,38,59,87,117,64,167,84,47,79,204,303,361,165,78,104,45,62148,62148,61582,,,,70481,,101042,85000,61504,70535.9140859141,71183,79734.5418589321,31183,40437.7319587629,27135,37981,58580,25505,20000,38854,11500,37330,20500,37708,32017,41186,65417,49006,11000,47750,37500,73542,71108,24931,21786,13125,25888,34167,50395,62148,65592,47750,2002,1492,510,2002,1371,631,2002,264,1738,2002,853,1149,2002,789,1213,2002,34,1968,2002,14,1988,2002,402,1600,2002,329,1673,27555,28691,,6278,,,,3759,12943,28776
"55021970100","14000US55021970100","Census Tract 9701, Columbia County, Wisconsin","Census Tract 9701, Columbia County, Wisconsin","wi","140","00","ACSSF","0009228",,,,,"55","021",,,,"970100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4301,4301,30.22431,142.302682483471,1591,52,60,103,78,91,87,46,90,82,185,227,262,105,26,49,48,56489,56489,56838,,,,,41250,26250,40313,56857,66515.3362664991,63382,73232.4237560193,30917,36607.2463768116,27983,38263,44825,18984,19420,29375,12003,32340,21563,31641,32389,42125,47411,41694,22969,41445,44333,50694,51250,25034,15208,21288,26071,32500,46518,56489,60278,27981,1591,1341,250,1591,1244,347,1591,372,1219,1591,494,1097,1591,440,1151,1591,27,1564,1591,50,1541,1591,198,1393,1591,302,1289,24481,24806,,,,,15734,8602,10956,24938
"55021970200","14000US55021970200","Census Tract 9702, Columbia County, Wisconsin","Census Tract 9702, Columbia County, Wisconsin","wi","140","00","ACSSF","0009229",,,,,"55","021",,,,"970200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5791,5791,79.99288,72.3939415935518,2422,60,96,208,150,103,133,144,114,78,203,336,403,255,81,25,33,56667,56667,57765,11964,,,,,21771,39063,57936,62675.1032204789,63517,70804.6739757646,33194,40746.5892597968,29952,35667,45625,23993,22325,36507,13675,34517,18274,31234,38467,43152,46000,39082,26875,34940,46000,47500,41964,30605,9449,27420,31452,34405,47125,56667,61267,30385,2422,1987,435,2422,1871,551,2422,361,2061,2422,637,1785,2422,710,1712,2422,79,2343,2422,26,2396,2422,478,1944,2422,490,1932,26215,26484,18029,,,,18283,7889,20053,26522
"55021970300","14000US55021970300","Census Tract 9703, Columbia County, Wisconsin","Census Tract 9703, Columbia County, Wisconsin","wi","140","00","ACSSF","0009230",,,,,"55","021",,,,"970300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3662,3662,49.76028,73.5928290015243,1636,37,106,90,49,76,156,155,106,45,187,177,186,106,96,27,37,47389,47389,51364,,37411,,,60962,,60817,51534,62495.9046454768,65147,79188.9227642276,34113,35508.1288343558,25226,30870,43310,16326,20373,32278,13773,29769,16953,25385,29583,40000,55547,41098,11875,30602,43796,45938,97222,22837,18375,18598,20563,30417,44125,47389,59257,35741,1636,1327,309,1636,1252,384,1636,233,1403,1636,498,1138,1636,532,1104,1636,42,1594,1636,12,1624,1636,289,1347,1636,281,1355,28113,28717,,50397,19583,,15744,,15694,28747
"55021970400","14000US55021970400","Census Tract 9704, Columbia County, Wisconsin","Census Tract 9704, Columbia County, Wisconsin","wi","140","00","ACSSF","0009231",,,,,"55","021",,,,"970400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6496,6496,491.7169,13.2108550309886,2524,306,120,214,186,227,251,127,130,76,121,236,223,184,71,43,9,33654,33654,33333,,140938,,,36786,35568,37143,33253,47354.7543581616,51574,59329.7335203366,22276,31020.7650273224,19907,19577,41752,7733,20204,37111,9550,31575,7344,22182,32671,42607,48750,34292,7031,28750,36184,40000,76591,30530,23750,21165,30882,43209,45938,33654,60000,21519,2524,2001,523,2524,1931,593,2524,232,2292,2524,447,2077,2524,763,1761,2524,86,2438,2524,21,2503,2524,359,2165,2524,584,1940,18968,20817,2011,6789,,,8379,13134,5612,20942
"55021970500","14000US55021970500","Census Tract 9705, Columbia County, Wisconsin","Census Tract 9705, Columbia County, Wisconsin","wi","140","00","ACSSF","0009232",,,,,"55","021",,,,"970500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4311,4311,765.059,5.63485931208948,1661,74,82,148,72,124,146,32,140,95,158,239,217,83,18,12,21,45548,45548,45550,,,,,,,34167,46125,54413.1848284166,53147,61196.5034965035,27163,34840.4255319149,24071,27043,39556,12817,19803,31636,9233,30723,15660,26421,32418,35208,54125,33224,16667,31591,34205,52644,62679,27566,4896,14779,31903,27240,52750,45548,61382,31250,1661,1380,281,1661,1364,297,1661,122,1539,1661,325,1336,1661,472,1189,1661,84,1577,1661,57,1604,1661,216,1445,1661,321,1340,21268,21852,13917,18117,,,18561,7226,10404,22320
"55021970600","14000US55021970600","Census Tract 9706, Columbia County, Wisconsin","Census Tract 9706, Columbia County, Wisconsin","wi","140","00","ACSSF","0009233",,,,,"55","021",,,,"970600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4907,4907,47.2547,103.841518956845,2108,3,87,63,74,123,157,159,84,97,203,345,288,184,116,64,61,60125,60125,60313,,,,,,47857,,60250,71796.7741935484,67179,82466.7778519013,37417,44390.4761904762,30987,36005,45660,28161,21470,38590,14162,35149,15909,30039,35407,46250,56250,39444,17292,32128,47344,51932,55417,30897,14250,23542,25417,41750,56477,60125,64052,32407,2108,1679,429,2108,1615,493,2108,354,1754,2108,679,1429,2108,675,1433,2108,12,2096,2108,0,2108,2108,464,1644,2108,321,1787,30587,30540,,,,,,,23785,30655
"55021970700","14000US55021970700","Census Tract 9707, Columbia County, Wisconsin","Census Tract 9707, Columbia County, Wisconsin","wi","140","00","ACSSF","0009234",,,,,"55","021",,,,"970700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3930,3930,97.45643,40.3257127060048,1722,98,60,57,53,88,106,131,87,71,180,188,288,174,93,33,15,57400,57400,57275,,,,,,,55833,57574,65329.9651567944,69671,76477.4696707106,36316,40269.1901408451,30563,39148,47889,21625,23068,37250,14313,36231,30347,32750,36774,50875,26500,41786,33500,34857,46600,52986,36563,31521,30069,29107,30857,48684,2499,57400,67730,34719,1722,1443,279,1722,1402,320,1722,219,1503,1722,382,1340,1722,448,1274,1722,50,1672,1722,26,1696,1722,258,1464,1722,323,1399,28317,28553,,,,,,3989,24644,28639
"55021970800","14000US55021970800","Census Tract 9708, Columbia County, Wisconsin","Census Tract 9708, Columbia County, Wisconsin","wi","140","00","ACSSF","0009235",,,,,"55","021",,,,"970800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5613,5613,118.2603,47.4631079371796,2206,50,68,46,55,117,128,100,102,61,221,412,329,251,82,120,64,67321,67321,67803,,,,,54107,,48958,68106,75427.6065276519,72122,84913.074433657,35146,46893.6459909228,32473,41231,52998,18828,26064,41452,14151,40500,20404,32734,35110,51969,55132,48835,11316,43661,45598,60167,65179,32675,21287,25221,27258,48008,51563,67321,71560,37007,2206,1810,396,2206,1772,434,2206,330,1876,2206,835,1371,2206,653,1553,2206,24,2182,2206,20,2186,2206,409,1797,2206,382,1824,30027,30380,,4191,,,14937,9713,9510,30976
