Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_003,SE_T004_001,SE_T004_002,SE_T004_003,SE_T007_001,SE_T007_002,SE_T007_003,SE_T007_004,SE_T007_005,SE_T007_006,SE_T007_007,SE_T007_008,SE_T007_009,SE_T007_010,SE_T007_011,SE_T007_012,SE_T007_013,SE_T013_001,SE_T013_002,SE_T013_003,SE_T013_004,SE_T013_005,SE_T013_006,SE_T013_007,SE_T013_008,SE_T017_001,SE_T017_002,SE_T017_003,SE_T017_004,SE_T017_005,SE_T017_006,SE_T017_007,SE_T017_008,SE_T017_009,SE_T057_001,SE_T093_001,SE_T094_001,SE_T094_002,SE_T094_003,SE_T118_001,SE_T118_002,SE_T118_003,SE_T118_004,SE_T118_005
"04007000100","14000US04007000100","Census Tract 1, Gila County, Arizona","Census Tract 1, Gila County, Arizona","az","140","00","ACSSF","0003647",,,,,"04","007",,,,"000100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2928,2928,16.48404,177.626324137409,2928,1335,1593,2928,14,89,169,28,191,39,312,564,529,871,122,0,2928,2893,0,35,0,0,0,0,1249,983,851,132,80,52,266,165,101,36760,4093,1249,1158,91,2909,239,952,1191,1718
"04007000200","14000US04007000200","Census Tract 2, Gila County, Arizona","Census Tract 2, Gila County, Arizona","az","140","00","ACSSF","0003648",,,,,"04","007",,,,"000200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2143,2143,10.21527,209.783927956423,2143,1149,994,2143,167,28,92,122,79,203,177,238,356,388,276,17,2143,2084,0,0,0,0,47,12,882,639,590,49,11,38,243,180,63,34970,3291,882,729,153,2143,332,699,1031,1112
"04007000301","14000US04007000301","Census Tract 3.01, Gila County, Arizona","Census Tract 3.01, Gila County, Arizona","az","140","00","ACSSF","0003649",,,,,"04","007",,,,"000301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5437,5437,1576.873,3.44796423767214,5437,2661,2776,5437,220,507,254,190,384,246,384,715,1072,872,397,196,5437,5146,11,47,14,0,219,0,2326,1560,1309,251,34,217,766,336,430,44360,2900,2326,1611,715,5437,714,1248,1962,3475
"04007000302","14000US04007000302","Census Tract 3.02, Gila County, Arizona","Census Tract 3.02, Gila County, Arizona","az","140","00","ACSSF","0003650",,,,,"04","007",,,,"000302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2998,2998,11.40938,262.766338685739,2998,1571,1427,2998,59,182,237,184,157,201,309,464,497,382,257,69,2998,2902,14,0,0,0,49,33,1215,801,673,128,33,95,414,180,234,46473,1712,1215,945,270,2998,149,404,553,2445
"04007000400","14000US04007000400","Census Tract 4, Gila County, Arizona","Census Tract 4, Gila County, Arizona","az","140","00","ACSSF","0003651",,,,,"04","007",,,,"000400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4770,4770,140.3383,33.9892910700745,4770,2436,2334,4770,382,80,187,148,290,396,481,771,803,711,471,50,4770,4721,0,0,0,0,12,37,1992,1202,1068,134,51,83,790,361,429,41494,2956,1992,1567,425,4770,627,1101,1728,3042
"04007000500","14000US04007000500","Census Tract 5, Gila County, Arizona","Census Tract 5, Gila County, Arizona","az","140","00","ACSSF","0003652",,,,,"04","007",,,,"000500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4741,4741,43.20956,109.721095232874,4741,2271,2470,4741,204,287,262,141,170,615,301,607,846,681,546,81,4741,4518,0,68,0,0,125,30,2163,1428,1113,315,34,281,735,302,433,38228,2776,2163,1559,604,4719,376,1002,1378,3341
"04007000600","14000US04007000600","Census Tract 6, Gila County, Arizona","Census Tract 6, Gila County, Arizona","az","140","00","ACSSF","0003653",,,,,"04","007",,,,"000600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1131,1131,2.231214,506.898953971988,1131,551,580,1131,0,25,55,49,103,29,153,141,354,89,120,13,1131,1131,0,0,0,0,0,0,453,328,300,28,11,17,125,57,68,33750,1068,453,404,49,1109,315,171,486,623
"04007000700","14000US04007000700","Census Tract 7, Gila County, Arizona","Census Tract 7, Gila County, Arizona","az","140","00","ACSSF","0003654",,,,,"04","007",,,,"000700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,911,911,1.160003,785.34294367387,911,471,440,911,21,41,27,11,6,39,89,73,161,341,75,27,911,911,0,0,0,0,0,0,472,239,206,33,18,15,233,132,101,27308,1173,472,429,43,911,233,279,512,399
"04007000800","14000US04007000800","Census Tract 8, Gila County, Arizona","Census Tract 8, Gila County, Arizona","az","140","00","ACSSF","0003655",,,,,"04","007",,,,"000800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1430,1430,5.775576,247.594364143772,1430,702,728,1430,35,86,15,8,52,125,59,220,332,325,139,34,1430,1286,0,0,0,0,136,8,646,450,347,103,26,77,196,120,76,27529,1249,646,486,160,1430,213,545,758,672
"04007000900","14000US04007000900","Census Tract 9, Gila County, Arizona","Census Tract 9, Gila County, Arizona","az","140","00","ACSSF","0003656",,,,,"04","007",,,,"000900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3440,3440,514.75,6.68285567346258,3440,1498,1942,3440,200,195,192,191,238,290,510,495,603,228,140,158,3440,3044,0,7,0,0,319,70,1271,718,491,227,110,117,553,309,244,35646,1693,1271,1043,228,3420,750,769,1519,1901
"04007001000","14000US04007001000","Census Tract 10, Gila County, Arizona","Census Tract 10, Gila County, Arizona","az","140","00","ACSSF","0003657",,,,,"04","007",,,,"001000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5086,5086,14.30757,355.476105680799,5086,2385,2701,5086,403,578,278,182,347,371,439,808,659,489,247,285,5086,4402,0,49,0,0,351,284,1940,998,660,338,153,185,942,409,533,31264,2522,1940,1520,420,5086,1093,1231,2324,2762
"04007001100","14000US04007001100","Census Tract 11, Gila County, Arizona","Census Tract 11, Gila County, Arizona","az","140","00","ACSSF","0003658",,,,,"04","007",,,,"001100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4157,4157,454.1157,9.15405476782132,4157,2050,2107,4157,139,368,260,174,376,288,559,578,585,410,360,60,4157,2917,35,403,34,41,437,290,1516,919,611,308,161,147,597,306,291,39960,1892,1516,1239,277,4145,405,1439,1844,2301
"04007001200","14000US04007001200","Census Tract 12, Gila County, Arizona","Census Tract 12, Gila County, Arizona","az","140","00","ACSSF","0003659",,,,,"04","007",,,,"001200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5235,5235,75.38726,69.4414398831191,5235,2807,2428,5235,218,285,349,118,311,523,510,856,856,672,390,147,5235,4433,57,394,22,12,172,145,1833,1228,903,325,10,315,605,279,326,47634,2300,1833,1516,317,4524,718,541,1259,3265
