Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_003,SE_T056_001,SE_T056_002,SE_T056_003,SE_T056_004,SE_T056_005,SE_T056_006,SE_T056_007,SE_T056_008,SE_T056_009,SE_T056_010,SE_T056_011,SE_T056_012,SE_T056_013,SE_T056_014,SE_T056_015,SE_T056_016,SE_T056_017,SE_T057_001,SE_T058_001,SE_T058_002,SE_T058_003,SE_T058_004,SE_T058_005,SE_T058_006,SE_T058_007,SE_T058_008,SE_T058_009,SE_T058_010,SE_T059_001,SE_T061_001,SE_T062_001,SE_T063_001,SE_T064_001,SE_T065_001,SE_T065_002,SE_T065_003,SE_T065_004,SE_T065_005,SE_T065_006,SE_T065_007,SE_T066_001,SE_T066_002,SE_T066_003,SE_T066_004,SE_T066_005,SE_T066_006,SE_T066_007,SE_T066_008,SE_T066_009,SE_T066_010,SE_T066_011,SE_T066_012,SE_T066_013,SE_T066_014,SE_T066_015,SE_T066_016,SE_T066_017,SE_T066_018,SE_T067_001,SE_T067_002,SE_T067_003,SE_T074_001,SE_T074_002,SE_T074_003,SE_T075_001,SE_T075_002,SE_T075_003,SE_T076_001,SE_T076_002,SE_T076_003,SE_T077_001,SE_T077_002,SE_T077_003,SE_T078_001,SE_T078_002,SE_T078_003,SE_T079_001,SE_T079_002,SE_T079_003,SE_T080_001,SE_T080_002,SE_T080_003,SE_T081_001,SE_T081_002,SE_T081_003,SE_T082_001,SE_T082_002,SE_T082_003,SE_T083_001,SE_T084_001,SE_T085_001,SE_T086_001,SE_T087_001,SE_T088_001,SE_T089_001,SE_T090_001,SE_T091_001,SE_T092_001
"39029951300","14000US39029951300","Census Tract 9513, Columbiana County, Ohio","Census Tract 9513, Columbiana County, Ohio","oh","140","00","ACSSF","0012182",,,,,"39","029",,,,"951300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3804,3804,62.04764,61.3077311555111,1401,147,63,157,52,99,32,123,65,126,184,160,124,31,28,10,0,41528,41528,41278,,,,,,,65037,41250,44732.3340471092,41614,47643.4545454545,22981,27822.9235880399,17463,27143,34276,17734,13393,22342,10046,21016,21154,20946,19205,22273,51719,29609,25563,29010,31838,34659,,16354,12250,16888,11434,21193,53889,41528,49390,17004,1401,1136,265,1401,1078,323,1401,188,1213,1401,283,1118,1401,528,873,1401,95,1306,1401,17,1384,1401,320,1081,1401,382,1019,16452,16729,17073,,,,,2959,,16852
"39029951400","14000US39029951400","Census Tract 9514, Columbiana County, Ohio","Census Tract 9514, Columbiana County, Ohio","oh","140","00","ACSSF","0012183",,,,,"39","029",,,,"951400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7430,7430,123.7786,60.0265391191002,2206,228,132,254,52,147,230,122,180,75,209,228,217,92,16,7,17,36899,36899,36693,,,,,,,,36693,46772.6201269266,42953,53953.1713100178,15540,21367.4373795761,17351,21034,39628,12219,13438,31610,9904,21813,11449,22750,20153,50104,29167,22063,12826,25182,19208,65230,28750,21146,9191,18636,24236,22431,45069,36899,40000,28163,2206,1686,520,2206,1642,564,2206,153,2053,2206,473,1733,2206,845,1361,2206,105,2101,2206,2,2204,2206,544,1662,2206,625,1581,15896,17661,7959,6256,9528,,5339,1139,6027,17948
"39029951500","14000US39029951500","Census Tract 9515, Columbiana County, Ohio","Census Tract 9515, Columbiana County, Ohio","oh","140","00","ACSSF","0012184",,,,,"39","029",,,,"951500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4669,4669,474.5457,9.8388849678068,1785,192,61,83,186,154,57,106,91,116,116,304,191,60,37,31,0,43411,43411,43051,,,,,,,,43051,48653.9495798319,54327,57591.7145200984,21780,26956.0070671378,19274,24933,40750,18762,14028,27500,9618,22983,20096,16798,32703,39851,4000,30636,21250,18409,47500,51765,,17518,10833,15685,16169,38185,,43411,51302,21100,1785,1489,296,1785,1459,326,1785,128,1657,1785,224,1561,1785,599,1186,1785,92,1693,1785,30,1755,1785,333,1452,1785,217,1568,18795,19133,,,,,6199,18807,,19133
"39029951600","14000US39029951600","Census Tract 9516, Columbiana County, Ohio","Census Tract 9516, Columbiana County, Ohio","oh","140","00","ACSSF","0012185",,,,,"39","029",,,,"951600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5651,5651,151.6351,37.2671008514325,2161,58,63,264,116,159,95,95,151,112,167,212,272,190,74,57,76,47610,47610,47228,,,,,,,,47228,65277.0013882462,63169,79263.0959752322,18247,23772.3443223443,23475,34086,52656,20946,16543,33205,13125,29960,7054,26571,29919,50428,41958,43173,15865,34720,51125,69083,47212,19265,4875,15040,20417,21226,41000,47610,60625,19406,2161,1624,537,2161,1499,662,2161,312,1849,2161,461,1700,2161,914,1247,2161,41,2120,2161,15,2146,2161,715,1446,2161,239,1922,25236,25084,,,,,,42951,,25084
"39029951700","14000US39029951700","Census Tract 9517, Columbiana County, Ohio","Census Tract 9517, Columbiana County, Ohio","oh","140","00","ACSSF","0012186",,,,,"39","029",,,,"951700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4772,4772,184.404,25.8779685465724,2086,167,173,124,135,119,61,88,147,92,288,255,259,103,25,12,38,47684,47684,47794,21602,,64931,,,,,47794,51438.3509108341,52816,61096.1940298507,27407,32598.7935656836,22077,31250,45673,15000,14818,28984,9330,30858,14028,28459,32564,40288,54241,43031,14306,39250,50368,60167,167895,17294,12115,9668,22772,35417,52417,47684,51173,17337,2086,1503,583,2086,1490,596,2086,124,1962,2086,442,1644,2086,623,1463,2086,89,1997,2086,62,2024,2086,448,1638,2086,389,1697,22553,22477,17911,,38773,,,,,22477
"39029951800","14000US39029951800","Census Tract 9518, Columbiana County, Ohio","Census Tract 9518, Columbiana County, Ohio","oh","140","00","ACSSF","0012187",,,,,"39","029",,,,"951800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3509,3509,4337.351,0.809019192366914,1440,279,115,54,138,140,123,154,70,33,63,115,88,68,0,0,0,29643,29643,27143,50694,,,,,,,27143,35756.875,36332,42947.2448979592,18716,19941.9565217391,18079,25273,36307,12903,13506,26591,10162,22604,14044,22072,20089,46625,37212,31004,30688,27708,32632,60288,,16936,6500,18333,14444,46250,37212,29643,35928,14314,1440,894,546,1440,878,562,1440,57,1383,1440,153,1287,1440,594,846,1440,141,1299,1440,135,1305,1440,375,1065,1440,232,1208,14687,15562,17567,,,,2156,2966,9724,15484
"39029951900","14000US39029951900","Census Tract 9519, Columbiana County, Ohio","Census Tract 9519, Columbiana County, Ohio","oh","140","00","ACSSF","0012188",,,,,"39","029",,,,"951900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3844,3844,1107.598,3.47057206442655,1579,183,102,94,169,97,192,61,66,65,181,121,118,94,0,33,3,33723,33723,33750,33197,,,,,36875,,33750,44365.357821406,40774,50838.3937316357,22055,31513.9784946237,21536,25108,32909,17943,16163,31017,9007,28363,23211,26617,34028,31250,47813,30464,24032,31308,28750,32321,37115,26226,17109,21603,37862,,48839,33723,37472,21792,1579,1155,424,1579,1138,441,1579,75,1504,1579,177,1402,1579,529,1050,1579,164,1415,1579,62,1517,1579,389,1190,1579,317,1262,18649,18372,37695,,,,,7614,,18372
"39029952000","14000US39029952000","Census Tract 9520, Columbiana County, Ohio","Census Tract 9520, Columbiana County, Ohio","oh","140","00","ACSSF","0012189",,,,,"39","029",,,,"952000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2846,2846,1307.26,2.17707224898339,1237,191,129,58,22,118,104,74,58,69,100,129,85,41,43,16,0,34676,34676,34398,20417,,,,,,,34398,43063.4599838319,49545,57782.0855614973,13678,18525.7668711656,18021,30066,45428,19974,14129,26313,11489,26362,17879,23235,27181,30417,49205,35990,18939,46615,35391,32361,64868,16993,15556,14367,17202,19327,32083,34676,46574,14729,1237,821,416,1237,775,462,1237,125,1112,1237,272,965,1237,571,666,1237,138,1099,1237,39,1198,1237,295,942,1237,149,1088,19153,19265,21090,,,,,20950,,19265
"39029952100","14000US39029952100","Census Tract 9521, Columbiana County, Ohio","Census Tract 9521, Columbiana County, Ohio","oh","140","00","ACSSF","0012190",,,,,"39","029",,,,"952100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1266,1266,2906.833,0.435525570002641,680,113,110,110,22,74,91,80,13,10,16,20,21,0,0,0,0,23295,23295,25000,6981,,,,,,,25000,25512.0588235294,26944,28364.6153846154,15877,21682.619047619,12716,14228,32660,10634,10083,17442,7390,19091,33397,10814,19962,,,26375,33558,11205,24821,,,16279,,10083,18056,,,23295,28125,17281,680,523,157,680,513,167,680,29,651,680,71,609,680,181,499,680,51,629,680,11,669,680,88,592,680,76,604,13609,14302,10863,,,,,,,14302
"39029952200","14000US39029952200","Census Tract 9522, Columbiana County, Ohio","Census Tract 9522, Columbiana County, Ohio","oh","140","00","ACSSF","0012191",,,,,"39","029",,,,"952200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2207,2207,2661.52,0.829225463592882,910,122,96,57,104,92,127,21,5,67,31,76,105,7,0,0,0,28571,28571,28705,24250,,,,,,,30262,34874.7252747253,27369,36418.0112570357,19688,29363.925729443,14571,23819,27203,13901,9804,19286,7997,19821,15625,25867,15735,4375,,28864,25588,32961,11705,,,13125,6875,14245,16250,,,28571,32896,23453,910,667,243,910,667,243,910,52,858,910,121,789,910,328,582,910,43,867,910,34,876,910,191,719,910,190,720,14394,14666,15165,,,,,2264,,14827
"39029952300","14000US39029952300","Census Tract 9523, Columbiana County, Ohio","Census Tract 9523, Columbiana County, Ohio","oh","140","00","ACSSF","0012192",,,,,"39","029",,,,"952300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3302,3302,4516.902,0.731031958449228,1108,242,84,109,68,77,80,77,51,7,139,65,80,18,0,11,0,28673,28673,29541,9063,,,,,,,29235,34920.8483754513,33072,38337.7833753149,14432,22535.3503184713,15666,22211,36295,13074,11774,21991,9093,21928,11000,24583,20873,46406,,28864,9750,31488,22051,58750,,17944,11500,14167,19561,12083,,28673,41844,13112,1108,769,339,1108,769,339,1108,41,1067,1108,113,995,1108,364,744,1108,93,1015,1108,34,1074,1108,149,959,1108,194,914,12855,13706,7402,,,,,414,8963,13840
"39029952400","14000US39029952400","Census Tract 9524, Columbiana County, Ohio","Census Tract 9524, Columbiana County, Ohio","oh","140","00","ACSSF","0012193",,,,,"39","029",,,,"952400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4211,4211,328.4661,12.8201983947416,1720,130,75,165,115,128,79,66,25,120,88,220,267,75,57,47,63,47265,47265,48571,2499,,,,,18346,,47309,60031.5697674419,61071,70715.5518394649,26302,35585.4961832061,22603,30958,50984,18021,17530,33319,8979,30075,18095,22210,32097,29273,76964,45764,35250,45156,36750,107273,76125,21845,4792,14554,29350,28110,82558,47265,60840,24178,1720,1288,432,1720,1288,432,1720,199,1521,1720,432,1288,1720,542,1178,1720,80,1640,1720,41,1679,1720,428,1292,1720,260,1460,24758,25289,10654,,,,,15044,,24632
"39081000200","14000US39081000200","Census Tract 2, Jefferson County, Ohio","Census Tract 2, Jefferson County, Ohio","oh","140","00","ACSSF","0013438",,,,,"39","081",,,,"000200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2082,2082,1738.795,1.19738122338791,786,330,181,78,27,9,25,33,0,43,18,42,0,0,0,0,0,12677,12677,11551,13712,,,,,35227,,11551,18793.0025445293,14382,24984.8249027237,9694,14296.9754253308,11936,13787,31538,11462,9896,25563,8894,14713,6442,12586,30163,30733,,25809,13333,8800,30380,31422,,13341,,13190,27250,4722,,12677,14341,9907,786,337,449,786,337,449,786,36,750,786,57,729,786,256,530,786,137,649,786,28,758,786,84,702,786,112,674,12049,12376,13030,3417,,,,5741,,12376
"39081000400","14000US39081000400","Census Tract 4, Jefferson County, Ohio","Census Tract 4, Jefferson County, Ohio","oh","140","00","ACSSF","0013439",,,,,"39","081",,,,"000400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4436,4436,7720.735,0.574556716092893,1568,457,173,230,59,88,45,77,70,60,140,71,40,50,8,0,0,18224,18224,21034,15985,,41250,,,19063,,21034,28169.1964285714,29448,35418.2035928144,13750,19392.6330150068,9605,8550,37639,6235,10455,20507,8929,20458,8750,22193,15517,25417,27361,28646,,36797,16382,29300,55625,16296,8125,20746,15096,10690,21731,18224,40786,12277,1568,874,694,1568,859,709,1568,84,1484,1568,199,1369,1568,493,1075,1568,169,1399,1568,289,1279,1568,398,1170,1568,335,1233,10550,11035,9587,,14405,,5335,8978,5043,11043
"39081000600","14000US39081000600","Census Tract 6, Jefferson County, Ohio","Census Tract 6, Jefferson County, Ohio","oh","140","00","ACSSF","0013440",,,,,"39","081",,,,"000600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2310,2310,2200.633,1.04969791365829,1126,94,110,113,34,37,95,124,93,24,94,60,112,74,31,21,10,37469,37469,39244,15865,,,,,,,39244,50810.0355239787,55606,69839.53125,18357,25750.4115226337,26222,36064,49013,22540,19506,37313,14344,36050,,33644,29306,48500,56132,42917,,36806,35875,56204,56701,33351,,32606,20804,36417,52375,37469,46667,15385,1126,657,469,1126,637,489,1126,86,1040,1126,280,846,1126,509,617,1126,45,1081,1126,19,1107,1126,347,779,1126,126,1000,24854,25189,14295,,,,,,,25189
