Geo_NAME,Geo_QName,Geo_AREALAND,Geo_AREAWATR,Geo_SUMLEV,Geo_GEOCOMP,Geo_REGION,Geo_DIVISION,Geo_FIPS,Geo_STATE,Geo_COUNTY,Geo_TRACT,Geo_BLKGRP,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_006,SE_T02A_001,SE_T02A_002,SE_T02A_003,SE_T003_001,SE_T003_002,SE_T003_003,SE_T008_001,SE_T008_002,SE_T008_003,SE_T008_004,SE_T008_005,SE_T008_006,SE_T008_007,SE_T008_008,SE_T008_009,SE_T008_010,SE_T008_011,SE_T008_012,SE_T008_013,SE_T044_001,SE_T044_002,SE_T044_003,SE_T054_001,SE_T054_002,SE_T054_003,SE_T054_004,SE_T054_005,SE_T054_006,SE_T054_007,SE_T054_008,SE_T055_001,SE_T055_002,SE_T055_003,SE_T055_004,SE_T055_005,SE_T055_006,SE_T055_007,SE_T055_008,SE_T055_009,SE_T055_010,SE_T055_011,SE_T055_012,SE_T055_013,SE_T055_014,SE_T055_015,SE_T055_016,SE_T055_017,SE_T058_001,SE_T058_002,SE_T058_003,SE_T058_004,SE_T058_005,SE_T058_006,SE_T058_007,SE_T058_008,SE_T058_009,SE_T063_001,SE_T063_002,SE_T063_003,SE_T063_004,SE_T063_005,SE_T063_006,SE_T063_007,SE_T063_008,SE_T063_009,SE_T063_010,SE_T063_011,SE_T063_012,SE_T063_013,SE_T063_014,SE_T063_015,SE_T063_016,SE_T063_017,SE_T063_018,SE_T068_001,SE_T069_001,SE_T069_002,SE_T069_003,SE_T070_001,SE_T070_002,SE_T070_003,SE_T071_001,SE_T071_002,SE_T071_003,SE_T071_004
"Block Group 1","Block Group 1, Census Tract 2, Champaign County, Illinois","748559","0","150","00","2","3","170190002001","17","019","000200","1",848,848,2934.05,0.289020258008917,0.2890203,0.2890203,0,848,363,485,848,82,90,87,47,95,97,85,110,53,49,38,15,27.6,22.4,30.7,848,29,779,3,5,0,9,23,848,822,25,771,3,5,0,3,15,26,4,8,0,0,0,6,8,316,204,57,147,19,128,112,95,17,848,848,717,204,57,346,30,14,13,25,28,131,95,17,19,0,0,0,346,316,128,188,346,316,30,30,17,4,9
"Block Group 2","Block Group 2, Census Tract 2, Champaign County, Illinois","666814","0","150","00","2","3","170190002002","17","019","000200","2",845,845,3282.084,0.257458335714297,0.2574583,0.2574583,0,845,394,451,845,67,63,52,39,111,100,107,110,104,45,28,19,34.1,30,35.7,845,90,685,1,5,0,31,33,845,803,86,680,1,5,0,0,31,42,4,5,0,0,0,31,2,300,169,71,98,15,83,131,103,28,845,807,620,169,71,241,51,13,5,32,38,187,103,28,56,38,0,38,354,300,138,162,354,300,54,54,34,5,15
"Block Group 1","Block Group 1, Census Tract 3.01, Champaign County, Illinois","230209","0","150","00","2","3","170190003011","17","019","000301","1",1679,1679,18889.75,0.0888841956024507,0.0888842,0.0888842,0,1679,1051,628,1679,1,0,1,3,1458,159,25,18,12,0,2,0,21.7,21.7,21.8,1679,1271,92,2,200,1,79,34,1679,1513,1197,89,0,196,1,5,25,166,74,3,2,4,0,74,9,820,30,14,16,10,6,790,405,385,1679,1679,86,30,14,6,0,15,0,1,20,1593,405,385,803,0,0,0,859,820,1,819,859,820,39,39,38,0,1
"Block Group 2","Block Group 2, Census Tract 3.01, Champaign County, Illinois","226581","634","150","00","2","3","170190003012","17","019","000301","2",3140,3140,35892.52,0.0874834169115842,0.0877282,0.08748341,0.0002447888,3140,1641,1499,3140,12,3,1,2,2879,129,10,9,9,19,19,48,21.7,21.7,21.6,3140,2346,106,6,510,1,88,83,3140,2925,2242,99,5,504,1,10,64,215,104,7,1,6,0,78,19,1150,42,15,27,13,14,1108,244,864,3140,2975,122,42,15,16,5,20,0,5,19,2853,244,864,1745,165,89,76,1237,1150,3,1147,1237,1150,87,87,67,0,20
"Block Group 1","Block Group 1, Census Tract 3.02, Champaign County, Illinois","202863","0","150","00","2","3","170190003021","17","019","000302","1",502,502,6409.123,0.078325845525153,0.07832585,0.07832585,0,502,323,179,502,2,0,2,0,293,91,17,40,43,6,4,4,23.4,23.8,22.8,502,307,85,3,77,0,21,9,502,447,279,82,1,77,0,2,6,55,28,3,2,0,0,19,3,284,20,9,11,9,2,264,159,105,502,502,45,20,9,5,1,7,0,0,3,457,159,105,193,0,0,0,301,284,9,275,301,284,17,17,14,2,1
"Block Group 2","Block Group 2, Census Tract 3.02, Champaign County, Illinois","109186","0","150","00","2","3","170190003022","17","019","000302","2",1485,1485,35225.51,0.0421569520785424,0.04215695,0.04215695,0,1485,946,539,1485,2,0,0,0,1099,336,27,14,4,3,0,0,22.6,22.8,22.4,1485,695,35,1,666,0,29,59,1485,1405,666,34,0,658,0,1,46,80,29,1,1,8,0,28,13,888,31,18,13,1,12,857,536,321,1485,1485,74,31,18,2,0,11,0,1,11,1411,536,321,554,0,0,0,903,888,1,887,903,888,15,15,15,0,0
"Block Group 3","Block Group 3, Census Tract 3.02, Champaign County, Illinois","115588","0","150","00","2","3","170190003023","17","019","000302","3",1385,1385,31033.79,0.0446287782028334,0.04462878,0.04462878,0,1385,912,473,1385,4,0,0,0,1022,309,26,13,9,2,0,0,22.6,22.7,22.4,1385,694,60,3,543,0,36,49,1385,1312,664,58,3,541,0,2,44,73,30,2,0,2,0,34,5,799,43,29,14,9,5,756,436,320,1385,1385,98,43,29,9,0,10,0,2,5,1287,436,320,531,0,0,0,839,799,3,796,839,799,40,40,38,0,2
"Block Group 1","Block Group 1, Census Tract 4.01, Champaign County, Illinois","165254","0","150","00","2","3","170190004011","17","019","000401","1",2527,2527,39605.09,0.0638049288259251,0.06380493,0.06380493,0,2527,1204,1323,2527,6,3,2,1,2397,92,15,5,4,1,1,0,20.2,20.3,20.2,2527,1856,82,5,493,0,27,64,2527,2396,1763,78,4,491,0,3,57,131,93,4,1,2,0,24,7,184,5,1,4,2,2,179,160,19,2527,246,17,5,1,11,0,0,0,0,0,229,160,19,50,2281,0,2281,186,184,1,183,186,184,2,2,2,0,0
"Block Group 2","Block Group 2, Census Tract 4.01, Champaign County, Illinois","89888","0","150","00","2","3","170190004012","17","019","000401","2",2316,2316,66732.07,0.0347059523055705,0.03470595,0.03470595,0,2316,1252,1064,2316,9,3,4,2,2214,66,7,6,3,2,0,0,20.4,20.5,20.3,2316,1944,31,4,238,5,43,51,2316,2171,1853,30,2,236,5,3,42,145,91,1,2,2,0,40,9,355,21,5,16,5,11,334,113,221,2316,913,59,21,5,20,0,8,1,2,2,854,113,221,520,1403,0,1403,384,355,0,355,384,355,29,29,6,22,1
"Block Group 1","Block Group 1, Census Tract 4.02, Champaign County, Illinois","171907","0","150","00","2","3","170190004021","17","019","000402","1",1712,1712,25793.36,0.0663736665961387,0.06637367,0.06637367,0,1712,983,729,1712,12,5,3,3,1580,92,6,6,5,0,0,0,21.7,21.8,21.7,1712,1403,78,4,133,2,47,45,1712,1579,1334,75,2,128,2,2,36,133,69,3,2,5,0,45,9,662,40,6,34,17,17,622,222,400,1712,1596,112,40,6,24,0,19,0,10,13,1484,222,400,862,116,0,116,687,662,1,661,687,662,25,25,20,3,2
