Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_003,SE_T056_001,SE_T056_002,SE_T056_003,SE_T056_004,SE_T056_005,SE_T056_006,SE_T056_007,SE_T056_008,SE_T056_009,SE_T056_010,SE_T056_011,SE_T056_012,SE_T056_013,SE_T056_014,SE_T056_015,SE_T056_016,SE_T056_017,SE_T057_001,SE_T058_001,SE_T058_002,SE_T058_003,SE_T058_004,SE_T058_005,SE_T058_006,SE_T058_007,SE_T058_008,SE_T058_009,SE_T058_010,SE_T059_001,SE_T061_001,SE_T062_001,SE_T063_001,SE_T064_001,SE_T065_001,SE_T065_002,SE_T065_003,SE_T065_004,SE_T065_005,SE_T065_006,SE_T065_007,SE_T066_001,SE_T066_002,SE_T066_003,SE_T066_004,SE_T066_005,SE_T066_006,SE_T066_007,SE_T066_008,SE_T066_009,SE_T066_010,SE_T066_011,SE_T066_012,SE_T066_013,SE_T066_014,SE_T066_015,SE_T066_016,SE_T066_017,SE_T066_018,SE_T067_001,SE_T067_002,SE_T067_003,SE_T074_001,SE_T074_002,SE_T074_003,SE_T075_001,SE_T075_002,SE_T075_003,SE_T076_001,SE_T076_002,SE_T076_003,SE_T077_001,SE_T077_002,SE_T077_003,SE_T078_001,SE_T078_002,SE_T078_003,SE_T079_001,SE_T079_002,SE_T079_003,SE_T080_001,SE_T080_002,SE_T080_003,SE_T081_001,SE_T081_002,SE_T081_003,SE_T082_001,SE_T082_002,SE_T082_003,SE_T083_001,SE_T084_001,SE_T085_001,SE_T086_001,SE_T087_001,SE_T088_001,SE_T089_001,SE_T090_001,SE_T091_001,SE_T092_001
"17019000200","14000US17019000200","Census Tract 2, Champaign County, Illinois","Census Tract 2, Champaign County, Illinois","il","140","00","ACSSF","0015491",,,,,"17","019",,,,"000200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1874,1874,3429.229,0.546478593723214,718,142,83,27,74,77,16,28,46,0,89,113,15,8,0,0,0,26269,26269,52159,25981,,,,,,,52159,32516.991643454,33672,32711.6089613035,25149,26244.0528634361,20219,20099,32031,18899,20316,28568,11155,20712,15840,20186,30552,32500,,17257,16175,21696,6648,,,21497,11094,17614,31090,16917,,26269,40109,18796,718,596,122,718,577,141,718,112,606,718,36,682,718,248,470,718,53,665,718,36,682,718,114,604,718,125,593,12411,19236,12135,7955,,,,,,19236
"17019000301","14000US17019000301","Census Tract 3.01, Champaign County, Illinois","Census Tract 3.01, Champaign County, Illinois","il","140","00","ACSSF","0015492",,,,,"17","019",,,,"000301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4516,4516,25605.61,0.176367612514035,1712,812,286,238,92,31,74,65,20,32,62,0,0,0,0,0,0,10696,10696,11677,2499,,5040,,,,9306,12217,14215.0700934579,2629,3935.48387096774,11131,14664.2371834466,5536,5850,12415,5523,5320,34239,5151,13854,,4125,,15766,13646,15565,,30357,,15766,17596,9896,,2499,,,13542,10696,,10696,1712,1551,161,1712,1528,184,1712,83,1629,1712,230,1482,1712,0,1712,1712,0,1712,1712,10,1702,1712,0,1712,1712,79,1633,6748,7283,2988,,6293,,3043,,6290,7284
"17019000302","14000US17019000302","Census Tract 3.02, Champaign County, Illinois","Census Tract 3.02, Champaign County, Illinois","il","140","00","ACSSF","0015493",,,,,"17","019",,,,"000302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3049,3049,18466.3,0.165111575806529,1701,622,202,226,232,16,92,19,29,32,71,33,116,11,0,0,0,15442,15442,15560,11642,,17070,,,2499,13299,16474,22441.9165196943,23782,38080.985915493,13599,20292.7517639513,9450,10107,32135,7160,8587,25972,7385,20197,23553,34615,9122,20029,19213,22788,,93148,31146,20291,26875,16406,,22500,,,16685,15442,,15367,1701,1544,157,1701,1544,157,1701,0,1701,1701,286,1415,1701,9,1692,1701,0,1701,1701,0,1701,1701,21,1680,1701,125,1576,12733,14277,12903,,10997,,,4951,8165,14603
"17019000401","14000US17019000401","Census Tract 4.01, Champaign County, Illinois","Census Tract 4.01, Champaign County, Illinois","il","140","00","ACSSF","0015494",,,,,"17","019",,,,"000401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4924,4924,49984.32,0.0985108811314956,574,281,97,72,34,0,0,0,8,7,0,35,0,0,0,40,0,10217,10217,11688,2499,,2499,,,10690,158500,10688,23245.9930313589,,,10145,23267.0175438596,3358,4106,41688,3878,2499,,2499,14911,,4095,41458,40594,13839,41058,,,47667,,12857,4303,,,,7813,,10217,,10217,574,494,80,574,494,80,574,70,504,574,131,443,574,29,545,574,0,574,574,0,574,574,0,574,574,51,523,5139,5942,5552,,2153,,3064,6273,10368,5256
"17019000402","14000US17019000402","Census Tract 4.02, Champaign County, Illinois","Census Tract 4.02, Champaign County, Illinois","il","140","00","ACSSF","0015495",,,,,"17","019",,,,"000402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3969,3969,31762.45,0.124958880118363,1174,572,202,187,70,68,18,25,0,0,0,0,0,0,0,0,32,10475,10475,12591,2499,,2499,,,,17875,12530,17970.528109029,,,10111,18005.8210251955,5055,5190,,5163,4811,,4769,11581,,,,10234,18239,11641,,,,11406,,11528,,,,8558,17566,10475,,10475,1174,978,196,1174,978,196,1174,42,1132,1174,163,1011,1174,22,1152,1174,0,1174,1174,0,1174,1174,0,1174,1174,39,1135,7168,7841,3596,,4122,,,2113,3544,8027
"17019000500","14000US17019000500","Census Tract 5, Champaign County, Illinois","Census Tract 5, Champaign County, Illinois","il","140","00","ACSSF","0015496",,,,,"17","019",,,,"000500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3878,3878,5362.223,0.72320759787304,1909,237,96,115,112,107,126,140,99,84,121,147,215,155,18,99,38,41194,41194,46083,25930,,21630,,,125357,17083,46417,56319.8533263489,74167,78498.2188295165,30847,38129.9198575245,26304,25724,60724,15793,26817,45364,18125,38380,,38841,30595,22539,49022,39891,,39136,28958,24023,56875,27868,,,34286,21341,37500,41194,83266,25905,1909,1583,326,1909,1548,361,1909,172,1737,1909,586,1323,1909,183,1726,1909,15,1894,1909,15,1894,1909,185,1724,1909,227,1682,28185,30366,13775,,20017,,16144,,20779,30928
"17019000700","14000US17019000700","Census Tract 7, Champaign County, Illinois","Census Tract 7, Champaign County, Illinois","il","140","00","ACSSF","0015497",,,,,"17","019",,,,"000700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4056,4056,4080.315,0.994040899031192,1490,172,140,187,83,198,142,59,101,69,73,60,158,39,0,0,9,28983,28983,31199,25857,,29712,,30313,,30464,31583,37907.3825503356,36082,47083.3520809899,16206,22987.1880199667,19078,21784,26926,14196,16427,27861,9488,25399,25230,26497,21719,31801,12000,26489,26349,29728,20972,31641,15938,21773,12283,21111,22813,31944,8625,28983,35766,23603,1490,1262,228,1490,1249,241,1490,127,1363,1490,238,1252,1490,276,1214,1490,98,1392,1490,42,1448,1490,114,1376,1490,158,1332,13923,17606,10986,,9734,,12698,1469,9222,20780
"17019000800","14000US17019000800","Census Tract 8, Champaign County, Illinois","Census Tract 8, Champaign County, Illinois","il","140","00","ACSSF","0015498",,,,,"17","019",,,,"000800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4421,4421,939.4179,4.706105588134,1772,131,82,41,121,73,195,138,104,149,169,149,216,137,17,30,20,45026,45026,45216,35750,,55761,,34946,57500,52702,45582,54556.0948081264,53722,61938.6278195489,37150,42942.3728813559,26322,33630,41339,16115,20417,36458,12043,31578,11442,31816,24154,32689,48047,34463,7778,38654,32188,27250,54688,25802,18281,29628,20395,32893,46065,45026,55100,40865,1772,1558,214,1772,1535,237,1772,78,1694,1772,254,1518,1772,211,1561,1772,45,1727,1772,31,1741,1772,131,1641,1772,245,1527,22547,26200,14343,,25858,,28729,8338,13242,29649
"17019000901","14000US17019000901","Census Tract 9.01, Champaign County, Illinois","Census Tract 9.01, Champaign County, Illinois","il","140","00","ACSSF","0015499",,,,,"17","019",,,,"000901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4288,4288,4049.753,1.05883000230117,1705,344,169,120,74,174,130,94,94,63,202,64,129,21,0,27,0,28750,28750,35175,25146,,44313,,,30813,,34318,35615.9530791789,28607,35776.6101694915,28977,34065.7317073171,15391,16694,37581,11154,14600,33375,9880,21994,15403,17188,26404,30526,20563,23906,12027,29167,36193,24597,21250,20255,16222,13700,24583,36875,18625,28750,50377,18589,1705,1359,346,1705,1341,364,1705,100,1605,1705,191,1514,1705,408,1297,1705,72,1633,1705,149,1556,1705,221,1484,1705,291,1414,14445,20074,11023,,15144,,,6488,7790,20817
"17019000902","14000US17019000902","Census Tract 9.02, Champaign County, Illinois","Census Tract 9.02, Champaign County, Illinois","il","140","00","ACSSF","0015500",,,,,"17","019",,,,"000902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5371,5371,709.6339,7.56869143795261,2228,124,86,102,55,39,117,88,94,75,206,502,376,172,84,70,38,64947,64947,65128,57639,,67448,,44154,,44412,65016,69721.5888689408,68586,80276.7229254571,42361,48075.5583126551,33170,42524,58125,18826,30038,38125,15000,39975,35545,32300,41118,42824,54097,47670,35773,44239,53333,47056,59464,32308,,22250,25921,33750,53079,64947,66310,39100,2228,1911,317,2228,1895,333,2228,163,2065,2228,542,1686,2228,354,1874,2228,37,2191,2228,1,2227,2228,402,1826,2228,155,2073,28710,30959,21960,,25987,,12897,7552,12360,31282
"17019001000","14000US17019001000","Census Tract 10, Champaign County, Illinois","Census Tract 10, Champaign County, Illinois","il","140","00","ACSSF","0015501",,,,,"17","019",,,,"001000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4072,4072,4205.933,0.968156223117636,2205,338,114,245,190,263,71,110,106,164,148,120,110,115,50,35,26,27190,27190,36793,16515,,61181,,,,,36793,43086.9387755102,42548,55172.2842639594,23852,31905.3278688525,22190,25170,35661,9979,19596,36339,15971,25139,10192,22060,26011,31667,42188,33155,32905,23609,35330,34821,47545,20398,2499,20425,15970,22212,37159,27190,50538,22686,2205,1772,433,2205,1700,505,2205,148,2057,2205,489,1716,2205,646,1559,2205,46,2159,2205,18,2187,2205,401,1804,2205,272,1933,23424,28782,9421,,21769,,,8791,8315,28796
